ID,Crop,trend_coeff
1003,WW,-0.1297571993224164
1051,WW,-0.09260304912478821
1053,WW,-0.17605872388481092
1054,WW,0.0025409373235460797
1055,WW,-0.08972332015810289
1056,WW,-0.06668548842461881
1057,WW,-0.10451722190852611
1058,WW,-0.01569734613212861
1059,WW,-0.03020892151326927
1060,WW,-0.10683229813664588
1061,WW,0.11891586674195345
1062,WW,0.022868435911914096
3101,WW,-0.09497459062676454
3102,WW,-0.16425748164878598
3103,WW,0.18706945228684357
3151,WW,0.1095990965556183
3153,WW,0.12772444946357978
3154,WW,-0.08469791078486744
3155,WW,0.09220779220779221
3157,WW,0.0072275550536419955
3158,WW,-0.14624505928853754
3159,WW,1.350000000000002
3241,WW,-0.12659514398644847
3251,WW,-0.19429700734048552
3252,WW,0.0269904009034443
3254,WW,-0.10101637492941824
3255,WW,0.1570863918690006
3256,WW,-0.16002258610954292
3257,WW,0.12399774138904583
3351,WW,-0.021964991530208852
3352,WW,-0.007058159232072398
3353,WW,-0.1258046301524563
3354,WW,0.1580463015245626
3355,WW,0.06414455110107287
3356,WW,0.11197063805759469
3357,WW,-0.042518351214003464
3358,WW,0.11914172783738
3359,WW,-0.17730095990965541
3360,WW,-0.04189723320158122
3361,WW,-0.35460191981931105
3451,WW,0.384561403508772
3452,WW,0.3970073404856013
3453,WW,5.646527385665184e-05
3454,WW,0.004630152456239313
3455,WW,0.08108413325804639
3456,WW,0.31801242236024846
3457,WW,0.4984754376058722
3458,WW,-0.09474872953133838
3459,WW,0.1530208921513271
3460,WW,-0.13867871259175604
3461,WW,0.2280878523717875
3462,WW,-0.3727272727272728
5116,WW,0.4303872355683038
5154,WW,0.12849414389291675
5158,WW,-0.014737436476566926
5162,WW,-0.16154714850367047
5166,WW,0.00796160361377738
5170,WW,0.07254322364751804
5334,WW,0.561538461538461
5358,WW,-0.3492073762536395
5362,WW,-0.1249749023982153
5366,WW,-0.12741773563859443
5370,WW,0.06301524562394127
5382,WW,-0.25262563523433074
5515,WW,-0.0053987730061350655
5554,WW,0.04335192414947028
5558,WW,-0.01586674195369862
5562,WW,0.04108198549916327
5566,WW,-0.3785220301171221
5570,WW,-0.08763410502540948
5711,WW,-0.19414389291689899
5754,WW,-0.7702428006775833
5758,WW,0.17844952593418845
5762,WW,0.02529644268774705
5766,WW,-0.10479954827780931
5770,WW,-0.0006023424428333633
5774,WW,-0.1980256553262688
5915,WW,0.6827216261998872
5958,WW,0.15795315114333502
5962,WW,0.08490849494673587
5966,WW,1.081029411764706
5974,WW,0.11462450592885402
5978,WW,-0.33522030117122154
6432,WW,-0.1850931677018633
6433,WW,0.41050254093732375
6434,WW,0.07566346696781506
6435,WW,-0.05443252399774156
6437,WW,0.6919254658385093
6439,WW,-0.1031055900621119
6440,WW,0.12518351214003376
6531,WW,0.23901750423489537
6533,WW,0.23195934500282323
6534,WW,0.06188594014680968
6535,WW,-0.18808582721626205
6631,WW,0.245228684359119
6632,WW,0.07261434217955967
6633,WW,-0.05652173913043473
6634,WW,-0.29232072275550547
6635,WW,0.21795595708639195
6636,WW,-0.12552230378317356
7133,WW,0.4889892715979671
7134,WW,0.43262580054894756
7137,WW,0.211123658949746
7140,WW,0.5561264822134389
